Победил,300,,"Эта битва была решающим сражением войны Наполеона и третьей коалиции, и закончилась полной победой французов.",Битва под Аустерлицем
,600,,"Это имя происходит от латинского ""победитель""",Виктор
,900,,Согласно каноническому житию этот великомученик пострадал во время Великого гонения при императоре Диоклетиане и после восьмидневных тяжких мучений в 303 году был обезглавлен. ,Георгий Победоносец
,1200,,"Этот велогонщик побеждал во всех велогонках Тур де Франс с 1999 по 2005, однако впоследствии был лишен всех титулов из-за допинговых скандалов",Лэнс Армстронг
,1500,,"Чаще всего победителями ""Евровидения"" становились представители этой страны",Ирландия
"Микро, милли, макро",300,,Об этом варианте коронавируса ВОЗ впервые узнала 24 ноября 2021.,Омикрон
,600,,"Согласно википедии, он называется ""программным алгоритмом действий, записанный пользователем"". Часто он применяется для автоматизации рутинных действий. Название получило свое распространение благодаря  продуктам Microsoft, например, Excel и Word.",Макрос
,900,,АУКЦИОН Именно столько кубических миллиметров в одном литре,1000000
,1200,audio https://docs.google.com/uc?export=download&id=1OZrsrC3wzxNAo8J07BG6VbUVxizVAjf_,КОТ В МЕШКЕ Тема: Музыкальная. Какую из пор года Вивальди вы сейчас слушаете,Лето
,1500,,"Этот экономист считается основателем современной макроэкономической теории, после того, как в 1936 году он выпустил свою книгу «Общая теория занятости, процента и денег» ",Джон Мейнард Кейнс
Стартапы,300,,Историю этого стартапа рассказывает сериал WeCrashed,WeWork
,600,,"Этот стартап был первой компанией, покинувшей белорусский ПВТ.",PandaDoc
,900,,Этот человек был CEO Uber до 2013 года.,Трэвис Каланик
,1200,,"АУКЦИОН Этот стартап обещал проводить огромное количество по одной капле крови, а в итоге его создательница была отправлена под суд.",Theranos
,1500,,"Этот стартап помогает писать на английском эффективнее и выдает рекомендации касательно правильности, четкости, увлекательности и тона сообщения. Его создатели - выходцы из Украины Алексей Шевченко, Максим Литвин и Дмитрий Лидер.",Grammarly
...уга...,300,,Ведущим этой телепередачи первого канала на протяжении долгого времени является Валдис Пельш,Угадай мелодию
,600,,Этот город на востоке Украине в 1970-1990 годах назывался Ворошиловград.,Луганск
,900,,"КОТ В МЕШКЕ Тема: Кино. Этот режиссер был автором фильмов ""Головокружение"", ""Птицы"", ""На север через северо-запад"" и другие",Альфред Хичкок
,1200,,"Штаб-квартира этой автомобилестроительной компании, специализирующейся на выпуске легковых автомобилей класса люкс, находится в эльзасском городе Мольсеме.",Bugatti
,1500,,Этот человек был президентом Зимбабве с 1987 по 2017 год.,Роберт Мугабе
Секретная,300,,"Одна из наиболее известных в мире компаний по продаже женского нижнего белья, купальников, одежды, косметики, парфюмерии и аксессуаров. Базируется в Колумбусе, штат Огайо, США.",Victoria’s Secret
,600,,"В настоящее время в России существует три уровня секретности и соответствующие им грифы секретности: секретные, совершенно секретные и эти.",Особой важности
,900,,"Фразеологическое выражение, обозначающее секрет, который всем и так известен, мнимую тайну, «секрет - на весь свет».",Секрет Полишинеля
,1200,,"Первый мультфильм, снятый Стивеном Спилбергом, рассказывает о газетный репортёре, который благодаря своей профессии путешествует по всему миру и становится участником увлекательных приключений.",Приключения Тинтина: тайна Единорога
,1500,,"Американский сценарист, продюсер и режиссёр, наиболее известный как создатель, исполнительный продюсер и ведущий сценарист телесериала «Секретные материалы».",Крис Картер
50 на 50,300,,Пингвины обитают на этом полюсе Земли,Южном
,600,,В финале чемпионата мира по футболу 1982 года встречались Италия и ФРГ. Победителями вышли именно они.,Италия
,900,,Среди братьев Кличко именно он является старшим.,Виталий
,1200,,Из двух боевых бурундуков Чипа и Дейла именно у него только один зуб.,Чип
,1500,,Соперничество между Восточным и Западным побережьями было враждой между артистами и фанатами хип-хопа. Тупак Шакур представлял именно это побережье.,Западное
